GEO_COD;GEO_COD_DSG;EDI_SCORE;EDI_QUINTILE;EDI_LEVEL
411;Vimioso;-7,099297325;1;Privação Mínima
406;Miranda do Douro;-5,184006899;1;Privação Mínima
306;Esposende;-5,180718061;1;Privação Mínima
1413;Mação;-5,180208686;1;Privação Mínima
608;Mira;-5,101708936;1;Privação Mínima
602;Cantanhede;-4,848145139;1;Privação Mínima
118;Vagos;-4,735559083;1;Privação Mínima
1212;Nisa;-4,72882921;1;Privação Mínima
111;Mealhada;-4,443446445;1;Privação Mínima
1004;Batalha;-4,376327574;1;Privação Mínima
604;Condeixa-a-Nova;-4,17268057;1;Privação Mínima
508;Proença-a-Nova;-4,170853845;1;Privação Mínima
1009;Leiria;-3,981792168;1;Privação Mínima
1808;Mortágua;-3,939388228;1;Privação Mínima
4602;Madalena;-3,900914025;1;Privação Mínima
1015;Pombal;-3,85587964;1;Privação Mínima
103;Anadia;-3,785909684;1;Privação Mínima
609;Miranda do Corvo;-3,726345739;1;Privação Mínima
408;Mogadouro;-3,723394268;1;Privação Mínima
1417;Sardoal;-3,637769505;1;Privação Mínima
1603;Melgaço;-3,504792194;1;Privação Mínima
402;Bragança;-3,430168485;1;Privação Mínima
1818;Sernancelhe;-3,391993757;1;Privação Mínima
4601;Lajes do Pico;-3,327179633;1;Privação Mínima
1421;Ourém;-3,306941551;1;Privação Mínima
613;Penacova;-3,233310399;1;Privação Mínima
1814;Santa Comba Dão;-3,158319836;1;Privação Mínima
114;Oliveira do Bairro;-3,121703817;1;Privação Mínima
101;Águeda;-3,070246851;1;Privação Mínima
4203;Ponta Delgada;-3,042323633;1;Privação Mínima
510;Vila de Rei;-3,036764852;1;Privação Mínima
1714;Vila Real;-2,985509176;1;Privação Mínima
4301;Angra do Heroísmo;-2,955560447;1;Privação Mínima
405;Macedo de Cavaleiros;-2,887961772;1;Privação Mínima
4603;São Roque do Pico;-2,879615096;1;Privação Mínima
1003;Ansião;-2,860959285;1;Privação Mínima
902;Almeida;-2,84934384;1;Privação Mínima
1817;Sátão;-2,823969908;1;Privação Mínima
1602;Caminha;-2,78498434;1;Privação Mínima
401;Alfândega da Fé;-2,727181496;1;Privação Mínima
1012;Óbidos;-2,698938824;1;Privação Mínima
603;Coimbra;-2,698669974;1;Privação Mínima
4302;Vila da Praia da Vitória;-2,689638856;1;Privação Mínima
310;Terras de Bouro;-2,611241338;1;Privação Mínima
901;Aguiar da Beira;-2,592137225;1;Privação Mínima
1807;Moimenta da Beira;-2,564465628;1;Privação Mínima
507;Penamacor;-2,551662321;1;Privação Mínima
302;Barcelos;-2,534026498;1;Privação Mínima
301;Amares;-2,49711579;1;Privação Mínima
1419;Torres Novas;-2,468408213;1;Privação Mínima
615;Soure;-2,453270151;1;Privação Mínima
1016;Porto de Mós;-2,437729053;1;Privação Mínima
1609;Viana do Castelo;-2,424246905;1;Privação Mínima
511;Vila Velha de Ródão;-2,368510787;1;Privação Mínima
1703;Chaves;-2,345942455;1;Privação Mínima
502;Castelo Branco;-2,344348487;1;Privação Mínima
1410;Entroncamento;-2,34420131;1;Privação Mínima
911;Sabugal;-2,33542915;1;Privação Mínima
117;Sever do Vouga;-2,327350216;1;Privação Mínima
1712;Valpaços;-2,315874377;1;Privação Mínima
3109;Santana;-2,312572363;1;Privação Mínima
1607;Ponte de Lima;-2,294677255;2;Privação Baixa
1822;Vila Nova de Paiva;-2,237908627;2;Privação Baixa
913;Trancoso;-2,229520748;2;Privação Baixa
1823;Viseu;-2,212312072;2;Privação Baixa
4401;Santa Cruz da Graciosa;-2,193135034;2;Privação Baixa
1313;Póvoa de Varzim;-2,187860716;2;Privação Baixa
612;Pampilhosa da Serra;-2,186674664;2;Privação Baixa
617;Vila Nova de Poiares;-2,158232566;2;Privação Baixa
1812;Penedono;-2,143435625;2;Privação Baixa
607;Lousã;-2,116993069;2;Privação Baixa
1604;Monção;-2,090105905;2;Privação Baixa
