Nomes_cc	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Abrantes	230	210	208	210	201	198	166	196	206	237
Águeda	327	347	353	290	361	348	306	350	310	346
Aguiar da Beira	22	24	20	26	23	28	30	28	25	27
Alandroal	37	40	24	31	18	30	32	22	30	29
Albergaria-a-Velha	180	169	195	212	186	196	155	172	208	176
Albufeira	419	451	495	479	495	494	453	434	535	524
Alcácer do Sal	79	62	63	69	83	81	64	83	76	63
Alcanena	88	101	84	82	80	83	70	77	83	89
Alcobaça	360	351	374	367	388	395	361	437	441	433
Alcochete	159	170	182	156	158	138	152	160	164	165
Alcoutim	15	9	11	11	11	11	7	9	8	6
Alenquer	409	367	407	380	413	378	402	392	419	439
Alfândega da Fé	21	23	25	34	27	20	21	28	18	11
Alijó	56	71	70	56	56	54	46	56	65	50
Aljezur	39	47	47	53	49	58	46	61	65	58
Aljustrel	58	68	82	67	82	57	72	79	62	74
Almada	1597	1698	1555	1625	1701	1645	1562	1712	1783	1728
Almeida	26	27	19	19	23	18	12	20	19	17
Almeirim	196	175	175	149	156	180	155	180	179	163
Almodôvar	42	49	54	61	50	41	57	46	38	40
Alpiarça	52	53	49	58	38	38	42	54	54	61
Alter do Chão	23	24	23	23	16	21	21	23	23	17
Alvaiázere	38	29	32	37	34	21	40	23	33	35
Alvito	20	19	17	22	15	19	20	16	15	22
Amadora	1869	1891	1943	2019	2079	1952	1725	1850	2021	2132
Amarante	362	350	343	366	339	350	301	359	343	297
Amares	111	134	147	128	149	142	132	123	136	127
Anadia	174	159	192	162	187	156	158	182	180	177
Angra do Heroísmo	298	297	247	290	291	292	260	264	253	220
Ansião	67	62	50	71	67	64	69	68	70	60
Arcos de Valdevez	107	122	98	109	110	108	110	113	116	107
Arganil	77	73	67	100	62	53	65	67	72	59
Armamar	34	32	35	32	26	33	28	26	15	21
Arouca	166	168	138	138	129	160	125	141	138	129
Arraiolos	36	53	44	52	37	39	45	38	38	48
Arronches	18	22	21	20	16	12	15	23	19	18
Arruda dos Vinhos	121	128	84	108	132	117	107	130	100	125
Aveiro	623	706	707	702	699	676	641	654	660	647
Avis	43	29	21	28	22	25	28	29	21	21
Azambuja	163	166	166	178	158	180	150	168	188	179
Baião	110	125	118	108	126	118	77	74	100	95
Barcelos	863	867	843	922	867	853	756	841	843	861
Barrancos	13	14	13	15	12	13	12	11	8	9
Barreiro	675	609	659	637	664	713	647	722	822	838
Batalha	129	113	120	133	123	137	104	114	155	117
Beja	305	359	304	334	323	287	310	308	344	300
Belmonte	31	65	36	35	36	30	31	48	29	36
Benavente	288	256	231	253	243	288	220	292	271	286
Bombarral	75	84	86	95	77	105	102	99	86	80
Borba	52	39	51	51	41	40	53	45	43	37
Boticas	27	25	34	25	24	20	24	32	23	24
Braga	1573	1675	1672	1735	1677	1700	1508	1673	1650	1581
Bragança	233	227	250	231	248	251	206	244	251	220
Cabeceiras de Basto	132	93	108	99	86	111	98	96	95	101
Cadaval	86	89	76	79	78	73	79	87	85	78
Caldas da Rainha	357	388	346	350	364	356	327	376	395	386
Calheta (R.A.A.)	26	21	17	22	27	23	21	28	24	23
Calheta (R.A.M.)	69	62	71	64	70	75	67	77	70	78
Câmara de Lobos	292	320	293	294	313	328	270	270	267	306
Caminha	96	102	86	117	116	101	86	97	93	96
Campo Maior	72	54	58	61	59	81	67	61	51	40
Cantanhede	225	227	259	249	236	229	220	250	226	247
Carrazeda de Ansiães	30	44	34	30	34	21	20	25	20	12
Carregal do Sal	56	67	51	70	59	60	53	60	56	62
Cartaxo	170	171	171	172	194	175	145	187	175	159
Cascais	2131	2038	2060	2039	1969	1836	1710	1734	1752	1725
Castanheira de Pêra	13	7	10	14	4	14	10	6	11	17
Castelo Branco	411	374	383	392	324	346	355	396	366	405
Castelo de Paiva	103	100	122	104	96	86	84	97	101	86
