Nomes_cc	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Abrantes	0	4	2	0	1	0	2	0	0	0
Águeda	2	1	1	0	2	1	0	1	0	0
Aguiar da Beira	0	0	0	0	0	0	0	0	0	0
Alandroal	0	0	0	0	0	0	0	0	0	0
Albergaria-a-Velha	1	0	1	0	0	2	0	1	0	1
Albufeira	0	3	0	2	3	1	3	1	2	5
Alcácer do Sal	0	0	0	0	0	0	0	0	0	0
Alcanena	0	0	1	0	0	0	0	0	0	1
Alcobaça	0	0	0	0	0	3	2	0	2	0
Alcochete	1	1	1	0	0	0	0	1	0	0
Alcoutim	0	0	0	0	0	0	0	0	0	0
Alenquer	1	0	0	2	1	2	1	2	1	3
Alfândega da Fé	0	1	0	0	1	0	0	0	0	0
Alijó	0	0	0	0	0	0	0	0	0	1
Aljezur	0	0	0	0	0	0	0	0	2	0
Aljustrel	1	0	1	1	0	0	1	0	0	0
Almada	2	5	4	8	4	3	7	5	4	16
Almeida	0	0	0	0	0	0	0	0	0	0
Almeirim	0	3	1	1	0	0	2	0	2	1
Almodôvar	1	0	0	0	0	0	0	0	0	0
Alpiarça	0	0	1	0	0	0	0	1	1	0
Alter do Chão	0	0	0	0	0	0	0	0	0	0
Alvaiázere	0	0	0	0	0	0	0	0	0	0
Alvito	0	0	0	0	0	0	0	0	0	1
Amadora	6	10	6	11	16	7	6	7	6	12
Amarante	1	0	0	0	0	0	1	2	0	1
Amares	1	0	0	1	1	0	0	0	1	0
Anadia	0	1	0	1	2	0	0	0	3	0
Angra do Heroísmo	2	0	1	3	0	1	0	0	0	0
Ansião	0	0	0	0	0	0	0	1	1	0
Arcos de Valdevez	0	0	0	0	0	0	0	1	0	0
Arganil	0	0	0	1	0	0	0	0	0	1
Armamar	0	0	0	0	0	0	0	0	0	1
Arouca	0	0	0	0	0	0	0	0	0	0
Arraiolos	1	0	0	0	0	0	0	0	0	1
Arronches	0	0	0	0	0	0	0	0	0	0
Arruda dos Vinhos	0	1	0	0	0	0	0	0	0	0
Aveiro	2	0	1	1	2	0	3	3	3	0
Avis	0	0	0	0	0	1	0	0	0	0
Azambuja	0	2	0	0	1	0	0	2	0	0
Baião	0	0	0	0	0	0	0	0	0	0
Barcelos	2	1	1	3	2	2	3	2	1	3
Barrancos	0	0	0	0	0	0	0	0	0	0
Barreiro	3	4	3	4	6	4	3	3	5	3
Batalha	0	0	1	0	0	1	0	0	1	0
Beja	1	1	0	1	2	1	0	2	0	0
Belmonte	0	0	0	0	0	0	0	1	0	0
Benavente	1	2	2	1	0	1	0	0	0	0
Bombarral	1	0	0	0	0	0	0	2	0	0
Borba	0	0	0	1	0	0	0	0	0	0
Boticas	0	0	0	0	0	0	0	0	0	0
Braga	1	2	1	2	3	3	1	0	2	5
Bragança	0	0	0	1	0	0	0	0	1	0
Cabeceiras de Basto	0	0	0	0	1	0	0	1	0	0
Cadaval	0	1	0	1	0	1	0	0	0	0
Caldas da Rainha	2	0	0	2	1	0	0	1	0	1
Calheta (R.A.A.)	0	0	0	0	0	0	0	0	0	1
Calheta (R.A.M.)	0	0	0	0	0	0	1	0	0	0
Câmara de Lobos	0	0	0	0	1	1	4	1	0	0
Caminha	0	0	1	0	0	0	0	0	0	1
Campo Maior	0	0	0	0	0	0	1	0	0	0
Cantanhede	0	1	0	0	2	1	0	1	0	0
Carrazeda de Ansiães	0	0	0	0	0	0	0	0	0	0
Carregal do Sal	0	0	0	0	0	0	0	0	0	0
Cartaxo	0	0	0	0	0	1	0	1	0	0
Cascais	6	5	9	9	5	4	5	4	4	9
Castanheira de Pêra	0	0	0	1	0	0	0	0	0	0
Castelo Branco	2	2	0	1	1	1	3	1	1	0
Castelo de Paiva	0	0	0	0	0	0	0	1	0	0
Castelo de Vide	0	0	1	1	0	0	0	0	0	0
Castro Daire	0	0	0	0	0	1	0	0	0	0
Castro Marim	1	0	0	0	0	0	0	0	0	0
Castro Verde	1	0	0	0	0	0	0	0	0	0
Celorico da Beira	0	0	0	0	0	0	0	0	0	0
Celorico de Basto	0	0	1	1	0	0	1	0	0	0
Chamusca	0	1	0	0	0	0	0	0	0	0
Chaves	0	0	0	0	1	1	0	0	0	0
Cinfães	1	1	0	1	0	0	0	0	0	0
Coimbra	2	4	1	4	2	0	2	1	0	1
Condeixa-a-Nova	1	0	1	0	0	1	0	0	0	0
Constância	0	0	0	0	0	0	0	0	0	1
Coruche	0	0	0	0	1	0	0	1	2	1
Corvo	0	0	0	0	0	0	0	0	0	0
Covilhã	0	0	1	0	0	1	0	2	2	0
Crato	0	0	0	0	0	0	0	0	0	0
Cuba	2	2	0	1	1	1	0	0	0	1
Elvas	2	0	0	0	0	2	1	0	2	0
Entroncamento	0	0	0	0	0	2	1	0	0	0
Espinho	2	1	0	1	2	0	0	0	1	0
Esposende	1	0	3	0	0	0	1	0	5	1
Estarreja	1	0	0	0	0	0	0	0	1	1
Estrangeiro	4	1	4	2	6	0	1	11	5	3
Estremoz	0	0	0	1	0	1	0	0	1	0
Évora	0	0	2	1	1	2	0	1	0	1
Fafe	0	0	1	0	0	2	0	1	0	0
Faro	2	2	1	2	1	3	1	1	3	1
Felgueiras	0	2	1	1	2	3	1	1	0	2
Ferreira do Alentejo	0	0	0	0	1	1	1	0	1	0
Ferreira do Zêzere	0	0	0	0	1	0	0	0	0	0
Figueira da Foz	1	1	2	3	0	1	1	2	4	0
Figueira de Castelo Rodrigo	0	0	0	0	0	0	0	0	1	0
Figueiró dos Vinhos	0	0	0	0	1	0	0	0	0	0
Fornos de Algodres	1	0	0	0	0	0	0	0	0	2
Freixo de Espada à Cinta	0	0	1	0	0	0	1	0	0	1
Fronteira	0	0	0	0	0	0	0	0	0	0
Funchal	5	1	3	3	2	3	0	0	0	1
Fundão	0	0	2	1	0	0	1	0	0	0
Gavião	0	0	0	0	0	0	0	0	0	0
Góis	0	0	0	0	0	0	0	0	0	0
Golegã	0	0	1	0	0	0	1	0	0	0
Gondomar	3	6	2	2	4	4	1	3	5	3
Gouveia	0	0	0	0	0	0	0	0	0	0
Grândola	0	0	0	1	1	0	0	0	0	0
Guarda	2	1	1	2	1	0	0	1	1	0
Guimarães	3	2	0	3	2	0	4	2	2	2
Horta	0	0	0	1	1	1	0	3	2	1
Idanha-a-Nova	0	0	0	0	0	0	0	0	0	0
Ignorado	0	0	0	0	0	0	0	0	0	0
Ílhavo	2	0	3	0	1	0	1	1	1	0
Lagoa	0	0	0	1	0	2	0	1	1	0
Lagoa (R.A.A.)	0	0	0	0	0	1	0	1	1	0
Lagos	0	0	0	1	0	0	0	0	1	3
Lajes das Flores	0	0	0	0	1	0	0	0	0	0
Lajes do Pico	1	0	0	0	0	0	0	0	0	1
Lamego	0	0	0	0	0	0	0	0	0	0
Leiria	4	2	4	4	4	1	3	5	2	0
Lisboa	19	23	15	18	22	11	19	17	17	10
Loulé	0	3	2	6	2	1	1	0	3	5
Loures	9	9	10	9	7	3	5	3	6	7
Lourinhã	0	1	1	0	0	0	2	1	0	0
Lousã	0	0	1	0	0	0	0	1	1	0
Lousada	3	1	2	3	0	1	0	1	0	0
Mação	0	0	0	0	0	0	0	0	0	0
Macedo de Cavaleiros	1	0	0	0	0	0	0	0	1	0
Machico	0	0	2	0	0	1	1	0	1	3
Madalena	0	0	0	0	0	1	0	0	0	0
Mafra	1	5	5	4	3	2	3	1	1	3
Maia	2	3	2	1	1	3	3	3	2	2
Mangualde	1	0	0	0	0	0	0	0	0	0
Manteigas	0	0	0	0	0	0	0	0	0	0
Marco de Canaveses	2	5	2	1	1	0	1	1	1	0
Marinha Grande	1	2	0	0	1	1	0	0	1	2
Marvão	0	0	0	0	0	0	0	0	0	0
Matosinhos	2	2	3	3	2	1	6	2	2	4
Mealhada	0	0	0	0	0	1	0	1	1	0
Mêda	0	0	0	0	1	0	0	0	0	0
Melgaço	0	0	0	0	1	0	0	0	0	0
Mértola	0	0	0	0	0	1	0	0	0	0
Mesão Frio	0	0	0	1	0	0	0	0	0	0
Mira	0	1	0	0	0	0	0	0	0	0
Miranda do Corvo	0	0	0	0	0	0	0	0	0	0
Miranda do Douro	0	0	0	0	0	0	0	0	0	0
Mirandela	1	1	0	0	0	0	0	0	0	1
Mogadouro	0	0	0	0	1	0	0	0	0	0
Moimenta da Beira	0	0	0	0	0	1	0	1	0	1
Moita	2	4	2	1	3	1	1	4	4	3
Monção	0	2	0	1	0	0	0	0	1	0
Monchique	0	0	1	0	0	0	0	0	0	1
Mondim de Basto	0	0	0	0	1	0	1	0	0	0
Monforte	0	0	0	0	0	0	0	0	0	0
Montalegre	0	1	0	0	0	0	0	0	0	0
Montemor-o-Novo	0	0	0	0	0	0	0	0	0	0
Montemor-o-Velho	1	1	0	0	0	1	0	0	0	0
Montijo	6	4	4	2	1	1	1	1	4	2
Mora	0	0	0	0	0	0	1	0	0	0
Mortágua	0	0	1	1	0	0	0	0	0	0
Moura	0	0	1	2	0	0	0	2	1	0
Mourão	1	0	0	0	0	0	0	0	0	0
Murça	0	0	0	0	0	0	0	0	0	0
Murtosa	0	0	0	0	0	0	0	0	0	0
Nazaré	1	0	1	0	0	1	0	1	0	0
Nelas	0	0	0	0	0	0	1	0	0	0
Nisa	0	0	0	0	0	0	0	0	0	0
Nordeste	0	0	1	0	0	0	0	0	0	0
Óbidos	0	0	1	0	0	0	0	0	0	1
Odemira	0	1	1	0	2	1	0	2	2	2
Odivelas	2	8	4	6	6	1	7	4	3	8
Oeiras	10	9	4	7	4	3	1	3	2	4
Oleiros	0	0	0	0	0	0	0	0	0	0
Olhão	1	0	1	2	0	3	0	3	0	1
Oliveira de Azeméis	0	1	0	0	0	0	1	1	0	0
Oliveira de Frades	0	0	0	0	1	2	0	0	0	1
Oliveira do Bairro	0	0	1	1	0	0	0	1	0	0
Oliveira do Hospital	0	0	0	0	1	0	0	0	0	1
Ourém	3	2	0	0	0	0	2	1	0	0
Ourique	0	0	0	0	1	0	0	0	0	0
Ovar	0	1	1	2	1	1	0	2	0	0
Paços de Ferreira	2	1	1	1	3	1	1	4	0	3
Palmela	1	0	0	2	1	0	1	0	1	3
Pampilhosa da Serra	0	0	0	0	0	0	0	1	0	0
Paredes	0	2	2	1	5	1	0	3	2	1
Paredes de Coura	0	1	1	0	0	0	0	0	0	0
Pedrógão Grande	0	0	0	0	0	0	0	0	0	0
Penacova	0	0	1	0	0	1	0	0	0	1
Penafiel	2	1	0	0	0	0	0	1	1	1
Penalva do Castelo	0	1	0	0	0	0	0	0	0	1
Penamacor	1	0	0	0	0	0	0	0	1	0
Penedono	0	0	0	0	0	0	0	0	0	0
Penela	0	0	0	0	0	0	0	0	0	1
Peniche	2	0	2	1	0	1	1	0	0	1
Peso da Régua	0	0	0	0	0	3	1	1	1	0
Pinhel	0	0	0	0	0	0	0	0	0	0
Pombal	1	0	3	0	0	0	0	1	0	0
Ponta Delgada	3	2	0	2	2	4	4	1	0	3
Ponta do Sol	1	0	0	0	0	0	0	1	0	0
Ponte da Barca	0	0	0	0	1	0	0	0	0	0
Ponte de Lima	0	2	2	1	0	1	0	3	0	1
Ponte de Sor	0	0	2	0	1	0	0	0	1	0
Portalegre	0	0	1	0	0	1	0	2	0	1
Portel	0	0	0	0	0	0	0	0	0	0
Portimão	2	2	2	1	3	2	1	0	0	0
Porto	9	6	6	10	6	3	2	4	4	5
Porto de Mós	1	0	0	1	0	0	0	0	0	4
Porto Moniz	0	0	0	0	0	0	0	0	0	0
Porto Santo	0	0	0	0	0	0	0	0	0	0
Póvoa de Lanhoso	2	1	0	0	0	0	0	1	0	0
Póvoa de Varzim	3	7	1	2	3	1	0	0	4	2
Povoação	0	0	0	0	0	0	0	0	0	0
Proença-a-Nova	0	0	0	0	0	0	0	0	0	0
Redondo	0	1	0	0	0	0	0	0	0	0
Reguengos de Monsaraz	1	0	0	0	1	0	0	0	0	0
Resende	0	1	0	0	0	0	0	0	0	0
Ribeira Brava	0	0	0	0	0	0	0	1	0	0
Ribeira de Pena	0	0	0	0	1	0	1	0	1	0
Ribeira Grande	0	1	2	3	0	0	1	0	1	1
Rio Maior	0	1	0	2	0	1	0	1	0	1
Sabrosa	0	0	0	0	0	0	0	0	0	0
Sabugal	0	1	0	1	0	0	0	0	0	1
Salvaterra de Magos	0	0	0	0	0	0	1	0	0	0
Santa Comba Dão	0	0	0	0	0	0	0	0	0	0
Santa Cruz	1	4	2	1	2	1	0	0	0	1
Santa Cruz da Graciosa	0	0	0	0	0	1	0	1	0	2
Santa Cruz das Flores	1	0	0	0	0	1	0	0	0	0
Santa Maria da Feira	5	4	0	4	6	3	0	3	1	4
Santa Marta de Penaguião	0	0	0	0	0	0	0	0	0	0
Santana	0	0	0	0	0	0	0	0	0	0
Santarém	5	6	1	3	1	1	1	3	1	0
Santiago do Cacém	1	0	0	1	2	0	0	3	1	1
Santo Tirso	2	3	2	2	2	1	2	3	1	0
São Brás de Alportel	0	0	1	0	1	0	0	0	1	0
São João da Madeira	1	0	2	0	0	0	0	0	0	0
São João da Pesqueira	1	1	0	1	0	0	0	0	0	1
São Pedro do Sul	0	0	0	0	0	0	0	0	0	0
São Roque do Pico	0	0	0	0	0	0	0	0	2	0
São Vicente	0	0	0	0	0	0	0	0	0	1
Sardoal	0	0	0	0	0	0	0	0	0	0
Sátão	1	0	0	0	0	0	0	0	0	0
Seia	1	0	0	0	0	1	0	1	1	0
Seixal	2	3	4	8	9	7	2	6	8	10
Sernancelhe	0	3	0	0	0	0	0	0	0	0
Serpa	0	0	0	0	1	0	0	0	0	0
Sertã	1	0	2	0	0	0	0	0	1	0
Sesimbra	2	3	0	0	0	2	0	0	1	1
Setúbal	2	3	2	6	3	2	4	4	3	2
Sever do Vouga	0	0	0	0	0	0	0	0	0	0
Silves	1	1	1	1	0	1	1	2	1	0
Sines	1	0	2	1	0	1	0	1	1	0
Sintra	9	12	14	19	15	7	12	11	12	18
Sobral de Monte Agraço	0	1	0	0	0	0	0	1	0	0
Soure	0	0	0	0	1	1	0	0	0	0
Sousel	0	0	0	0	0	0	0	0	0	0
Tábua	0	1	0	0	1	0	0	0	0	0
Tabuaço	0	0	0	0	0	0	1	0	1	0
Tarouca	0	0	0	0	0	0	0	0	0	0
Tavira	1	0	1	1	1	1	0	0	1	0
Terras de Bouro	0	0	0	0	0	0	0	0	0	0
